Chr	Amplicon_Start	Insert_Start	Insert_Stop	Amplicon_Stop	Gene	Ampl	AMPN
chr2	29383753	29383776	29383864	29383889	ALK	ampl2084	ALK-A68
chr2	29531876	29531906	29531981	29532003	ALK	ampl792	ALK-A69
chr2	29531947	29531967	29532053	29532073	ALK	ampl1986	ALK-A70
chr2	29532052	29532073	29532155	29532177	ALK	ampl1123	ALK-A71
chr2	29694745	29694769	29694859	29694879	ALK	ampl2032	ALK-A72
chr2	29694836	29694856	29694939	29694960	ALK	ampl836	ALK-A73
chr2	29694884	29694905	29694993	29695014	ALK	ampl2034	ALK-A74
chr2	29717516	29717546	29717625	29717655	ALK	ampl884	ALK-A75
chr2	29717597	29717620	29717706	29717736	ALK	ampl2082	ALK-A76
chr2	29919882	29919907	29920001	29920021	ALK	ampl818	ALK-A77
chr2	29919985	29920003	29920089	29920109	ALK	ampl1988	ALK-A78
chr2	29920083	29920102	29920204	29920222	ALK	ampl820	ALK-A79
chr2	29920377	29920397	29920490	29920512	ALK	ampl1934	ALK-A80
chr2	29920608	29920627	29920720	29920742	ALK	ampl1125	ALK-A81
chr2	208237041	208237070	208237154	208237176	IDH1	ampl1707	IDH1-A01
chr2	208237116	208237145	208237217	208237245	IDH1	ampl592	IDH1-A02
chr2	208239032	208239062	208239148	208239171	IDH1	ampl1671	IDH1-A03
chr2	208239114	208239138	208239217	208239243	IDH1	ampl467	IDH1-A04
chr2	208239172	208239201	208239269	208239299	IDH1	ampl1673	IDH1-A05
chr2	208239828	208239856	208239943	208239967	IDH1	ampl469	IDH1-A06
chr2	208239890	208239913	208239990	208240015	IDH1	ampl1675	IDH1-A07
chr2	208241881	208241911	208242001	208242019	IDH1	ampl473	IDH1-A08
chr2	208241977	208241997	208242082	208242103	IDH1	ampl1705	IDH1-A09
chr2	208242091	208242116	208242185	208242215	IDH1	ampl590	IDH1-A10
chr2	208243360	208243392	208243468	208243499	IDH1	ampl1677	IDH1-A11
chr2	208243425	208243458	208243528	208243554	IDH1	ampl471	IDH1-A12
chr2	208243496	208243518	208243609	208243630	IDH1	ampl1679	IDH1-A13
chr2	208245288	208245316	208245399	208245427	IDH1	ampl588	IDH1-A14
chr2	208245358	208245385	208245456	208245485	IDH1	ampl1790	IDH1-A15
chr2	208248286	208248319	208248401	208248425	IDH1	ampl461	IDH1-A16
chr2	208248375	208248398	208248472	208248499	IDH1	ampl1667	IDH1-A17
chr2	208248432	208248462	208248533	208248556	IDH1	ampl463	IDH1-A18
chr2	208248536	208248562	208248631	208248661	IDH1	ampl1669	IDH1-A19
chr2	208248575	208248604	208248677	208248707	IDH1	ampl465	IDH1-A20
chr2	208251376	208251399	208251473	208251502	IDH1	ampl1788	IDH1-A21
chr2	208251435	208251463	208251540	208251571	IDH1	ampl586	IDH1-A22
chr2	208251498	208251524	208251589	208251622	IDH1	ampl1665	IDH1-A23
chr2	211383567	211383589	211383669	211383695	ERBB4	ampl919	ERBB4-A01
chr2	211383629	211383649	211383737	211383767	ERBB4	ampl2217	ERBB4-A02
chr2	211383692	211383717	211383807	211383829	ERBB4	ampl1019	ERBB4-A03
chr2	211383819	211383841	211383932	211383954	ERBB4	ampl2219	ERBB4-A04
chr2	211383900	211383922	211384012	211384038	ERBB4	ampl1021	ERBB4-A05
chr2	211383975	211384002	211384072	211384105	ERBB4	ampl2221	ERBB4-A06
chr2	211386763	211386792	211386879	211386902	ERBB4	ampl1013	ERBB4-A07
chr2	211386843	211386869	211386960	211386982	ERBB4	ampl2211	ERBB4-A08
chr2	211386960	211386983	211387060	211387084	ERBB4	ampl917	ERBB4-A09
chr2	211387009	211387037	211387111	211387133	ERBB4	ampl2213	ERBB4-A10
chr2	211387883	211387906	211387990	211388022	ERBB4	ampl1061	ERBB4-A11
chr2	211420428	211420460	211420539	211420567	ERBB4	ampl2259	ERBB4-A12
chr2	211420506	211420529	211420617	211420645	ERBB4	ampl1059	ERBB4-A13
chr2	211421959	211421981	211422060	211422090	ERBB4	ampl2223	ERBB4-A14
chr2	211422030	211422050	211422124	211422157	ERBB4	ampl1023	ERBB4-A15
chr2	211424081	211424111	211424198	211424220	ERBB4	ampl2225	ERBB4-A16
chr2	211424162	211424188	211424263	211424288	ERBB4	ampl1025	ERBB4-A17
chr2	211424231	211424253	211424333	211424362	ERBB4	ampl1696	ERBB4-A18
chr2	211428361	211428392	211428464	211428495	ERBB4	ampl1015	ERBB4-A19
chr2	211428428	211428458	211428537	211428567	ERBB4	ampl2215	ERBB4-A20
chr2	211430904	211430934	211431001	211431030	ERBB4	ampl981	ERBB4-A21
chr2	211430963	211430991	211431063	211431087	ERBB4	ampl2179	ERBB4-A22
chr2	211561826	211561856	211561924	211561951	ERBB4	ampl1065	ERBB4-A23
chr2	211561889	211561914	211561991	211562015	ERBB4	ampl2263	ERBB4-A24
chr2	211561959	211561981	211562067	211562089	ERBB4	ampl1067	ERBB4-A25
chr2	211562045	211562067	211562141	211562169	ERBB4	ampl2265	ERBB4-A26
chr2	211619144	211619167	211619261	211619282	ERBB4	ampl1011	ERBB4-A27
chr2	211619250	211619276	211619356	211619389	ERBB4	ampl2209	ERBB4-A28
chr2	211623833	211623862	211623948	211623971	ERBB4	ampl973	ERBB4-A29
chr2	211623911	211623943	211624014	211624035	ERBB4	ampl2169	ERBB4-A30
chr2	211623975	211624004	211624076	211624099	ERBB4	ampl975	ERBB4-A31
chr2	211630399	211630429	211630496	211630526	ERBB4	ampl2171	ERBB4-A32
chr2	211630459	211630486	211630564	211630587	ERBB4	ampl977	ERBB4-A33
chr2	211630532	211630554	211630628	211630656	ERBB4	ampl2173	ERBB4-A34
chr2	211657723	211657748	211657833	211657862	ERBB4	ampl1017	ERBB4-A35
chr2	211665269	211665296	211665365	211665395	ERBB4	ampl2175	ERBB4-A36
chr2	211665305	211665327	211665407	211665433	ERBB4	ampl979	ERBB4-A37
chr2	211665430	211665456	211665538	211665568	ERBB4	ampl2177	ERBB4-A38
chr2	211673119	211673147	211673221	211673244	ERBB4	ampl1027	ERBB4-A39
chr2	211673185	211673208	211673284	211673310	ERBB4	ampl2227	ERBB4-A40
chr2	211678987	211679017	211679104	211679125	ERBB4	ampl965	ERBB4-A41
chr2	211679054	211679084	211679156	211679178	ERBB4	ampl2165	ERBB4-A42
chr2	211701897	211701921	211702009	211702034	ERBB4	ampl1071	ERBB4-A43
chr2	211701977	211701999	211702072	211702101	ERBB4	ampl2269	ERBB4-A44
chr2	211702102	211702125	211702205	211702231	ERBB4	ampl1073	ERBB4-A45
chr2	211704073	211704097	211704185	211704212	ERBB4	ampl2271	ERBB4-A46
chr2	211704161	211704183	211704261	211704291	ERBB4	ampl1075	ERBB4-A47
chr2	211705286	211705308	211705390	211705420	ERBB4	ampl2121	ERBB4-A48
chr2	211711954	211711982	211712062	211712092	ERBB4	ampl967	ERBB4-A49
chr2	211712026	211712056	211712134	211712158	ERBB4	ampl2167	ERBB4-A50
chr2	211712091	211712124	211712201	211712229	ERBB4	ampl969	ERBB4-A51
chr2	211713484	211713512	211713580	211713608	ERBB4	ampl2117	ERBB4-A52
chr2	211713525	211713548	211713620	211713650	ERBB4	ampl971	ERBB4-A53
chr2	211722369	211722400	211722486	211722508	ERBB4	ampl2183	ERBB4-A54
chr2	211722440	211722464	211722535	211722567	ERBB4	ampl915	ERBB4-A55
chr2	211725014	211725040	211725131	211725153	ERBB4	ampl2231	ERBB4-A56
chr2	211725081	211725103	211725187	211725213	ERBB4	ampl1057	ERBB4-A57
chr2	211725155	211725177	211725262	211725287	ERBB4	ampl2257	ERBB4-A58
chr2	211750561	211750583	211750677	211750700	ERBB4	ampl1069	ERBB4-A59
chr2	211750638	211750663	211750734	211750763	ERBB4	ampl2267	ERBB4-A60
chr2	211787955	211787981	211788069	211788093	ERBB4	ampl1029	ERBB4-A61
chr2	211788032	211788059	211788129	211788156	ERBB4	ampl2229	ERBB4-A62
chr2	211788092	211788119	211788190	211788218	ERBB4	ampl1031	ERBB4-A63
chr2	211947337	211947367	211947446	211947472	ERBB4	ampl2123	ERBB4-A64
chr2	211947407	211947436	211947503	211947531	ERBB4	ampl1063	ERBB4-A65
chr2	211947523	211947549	211947621	211947648	ERBB4	ampl2261	ERBB4-A66
chr2	212124706	212124728	212124821	212124844	ERBB4	ampl983	ERBB4-A67
chr2	212124789	212124811	212124898	212124924	ERBB4	ampl2181	ERBB4-A68
chr2	212124862	212124888	212124966	212124996	ERBB4	ampl1009	ERBB4-A69
chr2	212538435	212538456	212538539	212538559	ERBB4	ampl2119	ERBB4-A70
chr3	10142060	10142082	10142171	10142192	VHL	ampl875	VHL-A01
chr3	10142103	10142123	10142222	10142242	VHL	ampl1936	VHL-A02
chr3	10146476	10146498	10146585	10146609	VHL	ampl918	VHL-A03
chr3	10146552	10146575	10146657	10146687	VHL	ampl2116	VHL-A04
chr3	10149715	10149737	10149827	10149853	VHL	ampl914	VHL-A05
chr3	10149782	10149808	10149896	10149918	VHL	ampl2114	VHL-A06
chr3	10149864	10149886	10149971	10150000	VHL	ampl916	VHL-A07
chr3	36993471	36993491	36993584	36993604	MLH1	ampl1234	MLH1-A01
chr3	36993540	36993559	36993634	36993664	MLH1	ampl48	MLH1-A02
chr3	36996531	36996557	36996639	36996667	MLH1	ampl2083	MLH1-A03
chr3	36996603	36996629	36996714	36996742	MLH1	ampl881	MLH1-A04
chr3	37000888	37000918	37000997	37001022	MLH1	ampl1274	MLH1-A05
chr3	37000964	37000994	37001073	37001103	MLH1	ampl88	MLH1-A06
chr3	37004350	37004372	37004452	37004477	MLH1	ampl1200	MLH1-A07
chr3	37004414	37004442	37004522	37004548	MLH1	ampl40	MLH1-A08
chr3	37006973	37007006	37007068	37007097	MLH1	ampl2077	MLH1-A09
chr3	37008725	37008748	37008834	37008860	MLH1	ampl1083	MLH1-A10
chr3	37008806	37008828	37008912	37008934	MLH1	ampl2283	MLH1-A11
chr3	37011709	37011741	37011823	37011848	MLH1	ampl78	MLH1-A12
chr3	37011800	37011832	37011912	37011939	MLH1	ampl1240	MLH1-A13
chr3	37011962	37011988	37012077	37012101	MLH1	ampl1081	MLH1-A14
chr3	37012038	37012059	37012140	37012173	MLH1	ampl1238	MLH1-A15
chr3	37014380	37014413	37014477	37014508	MLH1	ampl883	MLH1-A16
chr3	37014437	37014467	37014551	37014576	MLH1	ampl2085	MLH1-A17
chr3	37017425	37017451	37017538	37017564	MLH1	ampl885	MLH1-A18
chr3	37017498	37017528	37017605	37017628	MLH1	ampl2113	MLH1-A19
chr3	37020239	37020264	37020355	37020378	MLH1	ampl76	MLH1-A20
chr3	37020324	37020348	37020432	37020457	MLH1	ampl2115	MLH1-A21
chr3	37020371	37020391	37020472	37020496	MLH1	ampl887	MLH1-A22
chr3	37025519	37025546	37025637	37025658	MLH1	ampl1235	MLH1-A23
chr3	37025625	37025653	37025729	37025751	MLH1	ampl42	MLH1-A24
chr3	37025672	37025699	37025774	37025796	MLH1	ampl1226	MLH1-A25
chr3	37025769	37025792	37025885	37025906	MLH1	ampl44	MLH1-A26
chr3	37025866	37025886	37025965	37025990	MLH1	ampl1228	MLH1-A27
chr3	37025920	37025942	37026020	37026048	MLH1	ampl871	MLH1-A28
chr3	37028705	37028730	37028818	37028843	MLH1	ampl1244	MLH1-A29
chr3	37028783	37028808	37028895	37028922	MLH1	ampl84	MLH1-A30
chr3	37028862	37028885	37028971	37028995	MLH1	ampl1246	MLH1-A31
chr3	37040130	37040157	37040244	37040265	MLH1	ampl806	MLH1-A32
chr3	37040193	37040217	37040299	37040321	MLH1	ampl1966	MLH1-A33
chr3	37042191	37042213	37042301	37042325	MLH1	ampl86	MLH1-A34
chr3	37042261	37042291	37042361	37042391	MLH1	ampl1248	MLH1-A35
chr3	37047462	37047485	37047578	37047601	MLH1	ampl80	MLH1-A36
chr3	37047544	37047567	37047642	37047668	MLH1	ampl1242	MLH1-A37
chr3	37047604	37047632	37047708	37047738	MLH1	ampl82	MLH1-A38
chr3	37048481	37048509	37048598	37048620	MLH1	ampl2087	MLH1-A39
chr3	37048566	37048588	37048668	37048691	MLH1	ampl133	MLH1-A40
chr3	37048820	37048846	37048919	37048949	MLH1	ampl1230	MLH1-A41
chr3	37048881	37048909	37048981	37049005	MLH1	ampl46	MLH1-A42
chr3	37048943	37048971	37049045	37049068	MLH1	ampl1232	MLH1-A43
chr3	37050425	37050447	37050540	37050562	MLH1	ampl74	MLH1-A44
chr3	37050508	37050530	37050608	37050635	MLH1	ampl1236	MLH1-A45
chr3	37050570	37050598	37050669	37050699	MLH1	ampl913	MLH1-A46
chr3	41224019	41224049	41224123	41224145	CTNNB1	ampl1778	CTNNB1-A01
chr3	41224484	41224517	41224590	41224613	CTNNB1	ampl604	CTNNB1-A02
chr3	41224558	41224580	41224669	41224692	CTNNB1	ampl1808	CTNNB1-A03
chr3	41224636	41224659	41224733	41224760	CTNNB1	ampl606	CTNNB1-A04
chr3	41224698	41224721	41224792	41224822	CTNNB1	ampl1810	CTNNB1-A05
chr3	41224918	41224946	41225030	41225055	CTNNB1	ampl568	CTNNB1-A06
chr3	41224998	41225020	41225099	41225125	CTNNB1	ampl1770	CTNNB1-A07
chr3	41225065	41225087	41225172	41225199	CTNNB1	ampl570	CTNNB1-A08
chr3	41225136	41225161	41225232	41225260	CTNNB1	ampl1772	CTNNB1-A09
chr3	41225260	41225286	41225368	41225394	CTNNB1	ampl560	CTNNB1-A10
chr3	41225335	41225358	41225441	41225470	CTNNB1	ampl1762	CTNNB1-A11
chr3	41225408	41225431	41225518	41225544	CTNNB1	ampl562	CTNNB1-A12
chr3	41225485	41225508	41225581	41225609	CTNNB1	ampl1764	CTNNB1-A13
chr3	41225570	41225596	41225684	41225709	CTNNB1	ampl572	CTNNB1-A14
chr3	41225652	41225674	41225763	41225786	CTNNB1	ampl1774	CTNNB1-A15
chr3	41225730	41225753	41225834	41225859	CTNNB1	ampl574	CTNNB1-A16
chr3	41225794	41225824	41225896	41225918	CTNNB1	ampl1776	CTNNB1-A17
chr3	41227144	41227167	41227253	41227283	CTNNB1	ampl576	CTNNB1-A18
chr3	41227199	41227226	41227303	41227329	CTNNB1	ampl1802	CTNNB1-A19
chr3	41233256	41233285	41233370	41233395	CTNNB1	ampl556	CTNNB1-A20
chr3	41233336	41233360	41233449	41233472	CTNNB1	ampl1752	CTNNB1-A21
chr3	41233490	41233515	41233602	41233629	CTNNB1	ampl564	CTNNB1-A22
chr3	41233563	41233592	41233672	41233694	CTNNB1	ampl1766	CTNNB1-A23
chr3	41233640	41233664	41233744	41233764	CTNNB1	ampl566	CTNNB1-A24
chr3	41233707	41233730	41233820	41233844	CTNNB1	ampl1768	CTNNB1-A25
chr3	41233788	41233810	41233886	41233916	CTNNB1	ampl578	CTNNB1-A26
chr3	41234051	41234080	41234152	41234176	CTNNB1	ampl1758	CTNNB1-A27
chr3	41234117	41234142	41234233	41234255	CTNNB1	ampl554	CTNNB1-A28
chr3	41234205	41234227	41234306	41234336	CTNNB1	ampl1760	CTNNB1-A29
chr3	41235665	41235693	41235768	41235790	CTNNB1	ampl524	CTNNB1-A30
chr3	41235733	41235758	41235840	41235870	CTNNB1	ampl1754	CTNNB1-A31
chr3	41235808	41235838	41235913	41235943	CTNNB1	ampl526	CTNNB1-A32
chr3	41236250	41236272	41236360	41236386	CTNNB1	ampl1804	CTNNB1-A33
chr3	41236320	41236350	41236430	41236452	CTNNB1	ampl602	CTNNB1-A34
chr3	41236397	41236420	41236504	41236531	CTNNB1	ampl1806	CTNNB1-A35
chr3	41236526	41236552	41236642	41236665	CTNNB1	ampl528	CTNNB1-A36
chr3	41236609	41236632	41236717	41236747	CTNNB1	ampl1756	CTNNB1-A37
chr3	41237979	41238005	41238085	41238115	CTNNB1	ampl558	CTNNB1-A38
chr3	41239033	41239055	41239148	41239172	CTNNB1	ampl1812	CTNNB1-A39
chr3	41239114	41239138	41239230	41239252	CTNNB1	ampl608	CTNNB1-A40
chr3	41239193	41239215	41239302	41239321	CTNNB1	ampl1814	CTNNB1-A41
chr3	179198732	179198762	179198836	179198858	PIK3CA	ampl1091	PIK3CA-A01
chr3	179198806	179198831	179198927	179198945	PIK3CA	ampl1655	PIK3CA-A02
chr3	179198885	179198917	179198995	179199023	PIK3CA	ampl503	PIK3CA-A03
chr3	179198939	179198969	179199035	179199063	PIK3CA	ampl1436	PIK3CA-A04
chr3	179199044	179199074	179199151	179199179	PIK3CA	ampl529	PIK3CA-A05
chr3	179199111	179199143	179199217	179199250	PIK3CA	ampl2255	PIK3CA-A06
chr3	179199628	179199658	179199733	179199756	PIK3CA	ampl537	PIK3CA-A07
chr3	179199701	179199723	179199799	179199825	PIK3CA	ampl1687	PIK3CA-A08
chr3	179199750	179199780	179199855	179199877	PIK3CA	ampl539	PIK3CA-A09
chr3	179199818	179199845	179199924	179199954	PIK3CA	ampl1689	PIK3CA-A10
chr3	179201235	179201262	179201337	179201367	PIK3CA	ampl493	PIK3CA-A11
chr3	179201301	179201327	179201407	179201435	PIK3CA	ampl1645	PIK3CA-A12
chr3	179201370	179201397	179201468	179201498	PIK3CA	ampl495	PIK3CA-A13
chr3	179201429	179201458	179201524	179201553	PIK3CA	ampl1647	PIK3CA-A14
chr3	179203498	179203523	179203598	179203624	PIK3CA	ampl282	PIK3CA-A15
chr3	179203566	179203588	179203666	179203695	PIK3CA	ampl1438	PIK3CA-A16
chr3	179203628	179203656	179203730	179203760	PIK3CA	ampl535	PIK3CA-A17
chr3	179203751	179203779	179203860	179203890	PIK3CA	ampl1685	PIK3CA-A18
chr3	179204440	179204466	179204541	179204571	PIK3CA	ampl547	PIK3CA-A19
chr3	179204502	179204531	179204608	179204641	PIK3CA	ampl1693	PIK3CA-A20
chr3	179209507	179209534	179209622	179209645	PIK3CA	ampl1099	PIK3CA-A21
chr3	179209584	179209612	179209683	179209713	PIK3CA	ampl2128	PIK3CA-A22
chr3	179209647	179209670	179209742	179209771	PIK3CA	ampl541	PIK3CA-A23
chr3	179210118	179210146	179210214	179210244	PIK3CA	ampl1331	PIK3CA-A24
chr3	179210181	179210205	179210294	179210320	PIK3CA	ampl143	PIK3CA-A25
chr3	179210260	179210284	179210368	179210398	PIK3CA	ampl1333	PIK3CA-A26
chr3	179210369	179210396	179210469	179210495	PIK3CA	ampl531	PIK3CA-A27
chr3	179210434	179210459	179210540	179210563	PIK3CA	ampl1681	PIK3CA-A28
chr3	179210508	179210530	179210616	179210646	PIK3CA	ampl533	PIK3CA-A29
chr3	179218201	179218232	179218308	179218339	PIK3CA	ampl1318	PIK3CA-A30
chr3	179218271	179218298	179218381	179218410	PIK3CA	ampl196	PIK3CA-A31
chr3	179219138	179219161	179219248	179219276	PIK3CA	ampl1643	PIK3CA-A32
chr3	179219215	179219238	179219306	179219339	PIK3CA	ampl491	PIK3CA-A33
chr3	179219486	179219514	179219600	179219625	PIK3CA	ampl2287	PIK3CA-A34
chr3	179219559	179219590	179219660	179219693	PIK3CA	ampl1095	PIK3CA-A35
chr3	179219618	179219646	179219709	179219742	PIK3CA	ampl1641	PIK3CA-A36
chr3	179219704	179219737	179219811	179219841	PIK3CA	ampl489	PIK3CA-A37
chr3	179219891	179219915	179219990	179220023	PIK3CA	ampl1637	PIK3CA-A38
chr3	179219942	179219975	179220040	179220072	PIK3CA	ampl487	PIK3CA-A39
chr3	179220025	179220049	179220135	179220164	PIK3CA	ampl1639	PIK3CA-A40
chr3	179220891	179220924	179221003	179221025	PIK3CA	ampl543	PIK3CA-A41
chr3	179220971	179220998	179221083	179221105	PIK3CA	ampl1691	PIK3CA-A42
chr3	179221052	179221076	179221162	179221191	PIK3CA	ampl545	PIK3CA-A43
chr3	179223998	179224027	179224113	179224136	PIK3CA	ampl1653	PIK3CA-A44
chr3	179224070	179224103	179224177	179224200	PIK3CA	ampl501	PIK3CA-A45
chr3	179224680	179224712	179224774	179224805	PIK3CA	ampl1651	PIK3CA-A46
